Murale,Année,Artiste,Ville,Arrondissement,Quartier,Édifice,Adresse,Emplacement,HLM,Batisseurs Culturels,LAT,LON
"""Hommage à Dominique Michel""",2017,HSIX,Montréal,Ville-Marie,Centre-Sud,Société d’habitation et de développement de Montréal (SHDM),"2045, rue Montcalm, H2L 3H8",,checked,checked,"45°31'19.0""N","73°33'45.7""W"
"""Le Regard""",2017,Mono Gonzalez,Montréal,Villeray–Saint-Michel–Parc-Extension,Villeray,Coop de solidarité,"205, rue Jarry Est, H2P 1T6",,,,"45°32'27.8""N","73°37'49.0""W"
"""L'anatomie de l'invisible""",2017,Carlito Dalceggio,Montréal,Le Plateau-Mont-Royal,Le Plateau,Coopérative Wilfrid-Laurier,"1200, avenue Laurier Est, H2J 3L7",,,,"45°31'54.4""N","73°35'05.0""W"
"""Ettennaoj""",2017,Jason Botkin,Montréal,Verdun,Verdun,Parc Joanette,"3918, rue Gertrude, H4G 1R8",,,,"45°27'53.5""N","73°34'07.7""W"
"""Dialogo""",2017,Mono Gonzalez,Montréal,Villeray–Saint-Michel–Parc-Extension,Villeray,Parc de Turin (Chalet de parc),"Rue Jean-Talon E, H2E 1W7",entre Chambord et de Lanaudière,,,"45°32'42.5""N","73°36'36.7""W"
"""Sans titre"" (Cyndie Belhumeur)",2017,Cyndie Belhumeur,Montréal,Saint-Laurent,,,"805, boulevard Décarie, H4L 3L7",,,,"45°30'43.3""N","73°40'43.7""W"
"""Tower of Songs: Hommage à Leonard Cohen""",2017,El Mac & Gene Pendon,Montréal,Ville-Marie,Ville-Marie,,"1420, rue Crescent, H3G 2B7",,,checked,"45°29'50.7""N","73°34'35.8""W"
"""La grande verte""",2017,Julien Colombier,Montréal,Ville-Marie,Ville-Marie,Union Française de Montréal,"429, avenue Viger Est, H2L 2N9",,,,"45°30'44.8""N","73°33'20.0""W"
"""CHUUUT""",2017,Ilana Pichon,Montréal,Ville-Marie,Quartier Latin,Place Émilie-Gamelin,"1500 Rue Berri, H2L 2C4",,,,"45°30'55.2""N","73°33'33.4""W"
"""Art Libre - Free Art""",2018,Milo,Montréal,Le Plateau-Mont-Royal,Le Plateau,,"168, avenue Mont-Royal Est, H2T 1P2",,,,"45°31'17.8""N","73°35'05.4""W"
"""Sportifs""",2018,Cécile Gariépy,Ville de Mont-Royal,Ville de Mont-Royal,,Club de Curling Ville de Mont-Royal,"1050, Chemin de Dunkirk, H3R 2B7",,,,"45°30'52.9""N","73°38'19.5""W"
"""Nurture versus Nature""",2018,Roadsworth (Peter Gibson),Montréal,Ville-Marie,Quartier Latin,Habitations Jeanne Mance (CHJM),"81, boul. de Maisonneuve Est, H2X 1J6",,checked,,"45°30'45.6""N","73°33'55.2""W"
"""Public Works""",2018,Dan Buller,Montréal,Ville-Marie,Centre-Sud,Clos Bercy,"1455, rue Bercy, H2K 2V1",,,,"45°31'58.0""N","73°32'45.1""W"
"""Tropical""",2018,Astro,Montréal,Verdun,,,"925, rue Hikson, H4G 2L1",,,,"45°27'55.4""N","73°34'29.7""W"
"""Hommage à Alanis Obomsawin""",2018,Meky Ottawa,Montréal,Ville-Marie,Shaughnessy Village,,"2330 avenue Lincoln, H3H 1J4",,,checked,"45°29'27.3""N","73°35'10.7""W"
"""Mémoire et racines""",2018,Aless McGovern,Montréal,Rivière-des-Prairies–Pointe-aux-Trembles,,,"11944, Rue Notre-Dame Est, H1B 2Y3",Coin de Notre-Dame Est et 9e avenue,,,"45°38'20.0""N","73°29'27.0""W"
"""Coexistence""",2018,CASE,Montréal,Le Sud-Ouest,Saint-Henri,Jean-Coutu,"3711, rue Notre-Dame Ouest, H4C 1P8",,,,"45°28'46.4""N","73°34'54.0""W"
"""Exquisite Corps""",2018,Nikki Küntzle,Montréal,Villeray–Saint-Michel–Parc-Extension,Villeray,,"4100 rue Jarry Est, H1Z 2H4",,,,"45°34'18.3""N","73°36'07.7""W"
"""Hommage à Daisy Peterson Sweeney""",2018,Kevin Ledo,Montréal,Le Sud-Ouest,Petite-Bourgogne,Habitations Îlots St-Martin (OMHM),"1791, rue Saint-Jacques, H3J 1G9",,checked,checked,"45°29'24.1""N","73°34'18.1""W"
"""Jeu de construction, en trois temps""",2018,Stéphane Leclerc,Montréal,Ville-Marie,Centre-Sud,Bureaux d'Hydro-Québec,"600, rue Fullum, Montréal, QC H2K 3L6",,,,"45°31'33.1""N","73°32'45.9""W"
"""La Pangée""",2018,Danaée Brissonnet,Montréal,Ahuntsic-Cartierville,Saint-Sulpice,Habitations André-Grasset (OMHM),"8825, Avenue André-Grasset, H2M 2L3",,checked,,"45°33'25.4""N ","73°38'01.7""W"
